@relation 'stateData-weka.filters.unsupervised.attribute.Remove-R1,24-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision6-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0'

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posY1 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posX2 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posY2 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posX3 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posY3 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posX4 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_posY4 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_dist2 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_dist3 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_dist4 {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute dot_dist {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute score {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute pacman_posX {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute pacman_posY {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'',Stop,West,West,Stop,'\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'',South,South
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'',Stop,Stop,Stop,North,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',South,South
True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'',South,South
True,True,True,True,'\'B5of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,South
True,True,True,True,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B3of5\'',East,North,South,East,'\'B5of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'',South,South
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,South,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'','\'B5of5\'','\'B2of5\'',South,South
True,True,True,True,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B4of5\'',North,South,West,East,'\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'',South,South
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,East,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'','\'B2of5\'','\'B2of5\'',East,South
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B1of5\'',Stop,Stop,Stop,North,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B5of5\'','\'B2of5\'',South,South
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B5of5\'','\'B1of5\'',South,South
True,True,True,True,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'',South,South
True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'',South,South
True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'',South,South
True,False,True,True,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'',South,Stop,South,North,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East,South
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'','\'B4of5\'',Stop,Stop,West,East,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'',West,West
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'',West,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,True,False,True,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,West,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',North,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'',West,West
False,True,False,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,West,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B1of5\'','\'B4of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'','\'B4of5\'',Stop,Stop,West,East,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'',West,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B2of5\'',North,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B5of5\'','\'B2of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',South,South,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',North,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B2of5\'',North,West
True,False,True,True,'\'B5of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'',West,West
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',East,West,Stop,Stop,'\'B1of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West,East,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
False,True,False,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B1of5\'','\'B4of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',East,West,Stop,Stop,'\'B1of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,True,False,False,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B4of5\'','\'B1of5\'','\'B3of5\'',North,West
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,West,North,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'',North,West
True,False,True,True,'\'B5of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
False,True,False,True,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West,West
False,True,False,True,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,True,True,True,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'','\'B2of5\'',Stop,Stop,West,South,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'',North,West
False,False,True,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B2of5\'',North,West
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West,West
True,False,True,True,'\'B5of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'',South,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B5of5\'','\'B2of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',South,South,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',North,West
False,True,False,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,North,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B1of5\'','\'B4of5\'',North,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'','\'B4of5\'',Stop,Stop,South,East,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'',West,West
True,False,True,True,'\'B5of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'',South,West
False,True,False,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,North,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B1of5\'','\'B4of5\'',North,West
False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'','\'B4of5\'',Stop,Stop,West,East,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'',West,West
True,False,True,True,'\'B5of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'',South,West
False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'',Stop,Stop,Stop,South,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West,West
False,True,False,False,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B1of5\'','\'B4of5\'',West,West
True,True,False,False,'\'B5of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',North,South,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',North,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'',South,West
True,True,False,False,'\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'',West,West
True,True,False,False,'\'B5of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',North,South,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',North,West
